Training Set,,,
,,pKi,
Number,SMILES,Experimental,Predicted
88,O=C(N(C)C)[C@@H]1Cc2ccccc2N1C(=O)CC[N+]3CCC(CC3)c4ccccc4,6.3,6.3
89,[N+]1(CCC(CC1)c2c[nH]c3c2cccn3)Cc4cccc5ccccc54,6.5,6.5
90,OCCn1c2c(c(C3CC[N+]([C@H]4c5cccc6cccc(C4)c65)CC3)c1)cccn2,6.3,6.3
91,Clc1cccc2c1[nH]cc2C3CC[N+](CC4CCCCCCC4)CC3,6.4,6.3
92,O=C1CCc2ccccc2N1C3CC[N+](C4CCC(CC4)C(C)C)CC3,8.1,8.1
93,Fc1ccc2c(c(C3CC[N+](CC4CCCCCCC4)CC3)c[nH]2)c1,6,6
94,O=C1[C@H](c2ccccc2N1C3CC[N+](C4CCCCCCC4)CC3)C,8,8
,,,
Test Set,,,
,,pKi,
Number,SMILES,Experimental,Predicted
1,O=C(OC)C1(N(c2ccccc2)C(=O)CC)CC[N+](CC1)CCc3ccccc3,10.2,9.8
2,O=C1[C@H](c2ccccc2N1C3CC[N+](C4CCCCCCC4)CC3)CC,7.8,7.7
3,O=C1Cc2ccccc2N1C3CC[N+]([C@@H]4c5cccc6CCC[C@H](c65)CC4)CC3,7.4,7.6
4,FC(F)(F)c1cccc(-c2nc3ccccc3n2C4CC[N+](C5(CCCCCCC5)C)CC4)c1,7.2,6.8
5,C[N+]1C[C@@H]2CN(C3([C@@H]2C1)CC[N+]([C@H]4CC[C@@H]5CCCC[C@@H]5C4) CC3)c6ccccc6,6.4,6.2
6,O=C1Cc2ccccc2N1C3CC[N+](C4CCC(CC4)C(C)C)CC3,8.1,8.1
7,[N+]1(C[C@H]2Cc3ccccc3CC2)CCC4(CC1)c5ccccc5CC4,6.5,6.7
8,O=C(N(C1CC[N+](CC1)CCc2ccccc2)CCCNC(N)=[N+])CC,7.6,8
9,Brc1ccc(O)c2c1C[C@@H]([N+]C2)C[N+]3CCC4(CC3)c5ccccc5CC4,6.9,6.6
10,Oc1ccc2c(C[C@H]([N+]C2)C[N+]3CCC4(CC3)c5ccccc5CC4)c1,6.4,6.2
11,O=C1CCc2ccccc2N1C3CC[N+](C4CCCCCCC4)CC3,7.3,8
12,FCCOC(=O)C1(N(c2ccccc2)C(=O)CC)CC[N+](CC1)CCc3ccccc3,8.9,9.7
13,Fc1ccc(C2CC[N+](CC2)CCC(=O)N3c4ccccc4C[C@H]3C(=O)N(C)C)c(C)c1,6.9,6.1
14,O=C1C[C@H](c2ccccc2N1C3CC[N+](C4CCCCCCC4)CC3)C,7.6,8.2
15,F[C@H](C(=O)N(C1CC[N+](CC1)CCc2ccccc2)c3ccccc3)C,8.7,8.5
16,C[N+]1C[C@@H]2CN(C3([C@@H]2C1)CC[N+](C4CCCCCCCC4)CC3)c5ccccc5,6.1,6.7
17,O=C1[C@@H](c2ccccc2N1C3CC[N+](CC3)C/C=C/c4ccccc4)CC,7.5,6.9
18,O=C1Cc2ccccc2N1C3CC[N+](CC3)Cc4ccccc4,7,7.6
19,O=C(NCCNC(N)=[N+])C1(Nc2ccccc2)CC[N+](CC1)Cc3ccccc3,6.7,7.5
20,[O-]C(=O)C1([N+]2CCC(n3c4ccccc4nc3N5CC[N+](CC5)C)CC2)CCCCCCC1,6.4,6.9
21,C[N+]1C[C@@H]2[C@H](C1)CN(C32CC[N+](C4CCC(CC4)C(C)C)CC3)c5ccccc5,6.3,6.7
